Id,Class
31,Sydney
32,Brisbane
33,Sydney
34,Sydney
35,Perth
36,Sydney
37,Melbourne
38,Sydney
39,Sydney
310,Sydney
311,Sydney
312,Brisbane
313,Sydney
314,Sydney
315,Sydney
316,Melbourne
317,Brisbane
318,Melbourne
319,Sydney
320,Sydney
321,Brisbane
322,Sydney
323,Melbourne
324,Sydney
325,Sydney
326,Brisbane
327,Perth
328,Sydney
329,Sydney
330,Brisbane
331,Sydney
332,Sydney
333,Sydney
334,Perth
335,Sydney
336,Sydney
337,Sydney
338,Melbourne
339,Brisbane
340,Sydney
341,Sydney
342,Sydney
343,Melbourne
344,Sydney
345,Sydney
346,Melbourne
347,Sydney
348,Perth
349,Brisbane
350,Perth
351,Sydney
352,Sydney
353,Melbourne
354,Melbourne
355,Sydney
356,Sydney
357,Sydney
358,Sydney
359,Sydney
360,Sydney
361,Perth
362,Sydney
363,Perth
364,Sydney
365,Sydney
366,Perth
367,Sydney
368,Sydney
369,Sydney
370,Perth
371,Sydney
372,Sydney
373,Brisbane
374,Sydney
375,Melbourne
376,Sydney
377,Sydney
378,Sydney
379,Brisbane
380,Melbourne
381,Sydney
382,Sydney
383,Sydney
384,Melbourne
385,Sydney
386,Brisbane
387,Melbourne
388,Sydney
389,Sydney
390,Sydney
391,Sydney
392,Sydney
393,Sydney
394,Sydney
395,Sydney
396,Sydney
397,Sydney
398,Sydney
399,Sydney
3100,Sydney
3101,Brisbane
3102,Sydney
3103,Sydney
3104,Brisbane
3105,Sydney
3106,Perth
3107,Melbourne
3108,Sydney
3109,Melbourne
3110,Melbourne
3111,Perth
3112,Sydney
3113,Brisbane
3114,Brisbane
3115,Sydney
3116,Sydney
3117,Sydney
3118,Melbourne
3119,Brisbane
3120,Brisbane
3121,Melbourne
3122,Sydney
3123,Brisbane
3124,Sydney
3125,Sydney
3126,Melbourne
3127,Melbourne
3128,Brisbane
3129,Sydney
3130,Sydney
3131,Brisbane
3132,Sydney
3133,Perth
3134,Sydney
3135,Sydney
3136,Brisbane
3137,Brisbane
3138,Sydney
3139,Sydney
3140,Brisbane
3141,Sydney
3142,Melbourne
3143,Brisbane
3144,Melbourne
3145,Sydney
3146,Sydney
